pam50_class	matrix_column	coefficient_sum	coefficient_sum_squares	absolute_coefficient_sum	selected_fold_count	nonzero_fold_count	positive_fold_count	negative_fold_count	mean_coefficient_including_zeros	mean_absolute_coefficient_including_zeros	coefficient_sd_including_zeros	sign_consistency	gene_id	gene_id_without_version	gene_name	gene_type	top20_outer_fold_count	top20_outer_fold_frequency	direction	direction_rank
Basal-like	20344	0.2271459549665451	0.02894126600548863	0.2271459549665451	5.0	2.0	2.0	0.0	0.04542919099330902	0.04542919099330902	0.06823160747402168	1.0	ENSG00000206075.14	ENSG00000206075	SERPINB5	protein_coding	2.0	0.4	positive	6
Basal-like	902	0.20165853574872	0.028480895893463788	0.20165853574872	5.0	2.0	2.0	0.0	0.040331707149744	0.040331707149744	0.07132261717961602	1.0	ENSG00000064886.14	ENSG00000064886	CHI3L2	protein_coding	1.0	0.2	positive	7
Basal-like	11115	0.1645323336124419	0.013739083192943792	0.1645323336124419	5.0	2.0	2.0	0.0	0.032906466722488384	0.032906466722488384	0.045620459862195095	1.0	ENSG00000163739.5	ENSG00000163739	CXCL1	protein_coding	2.0	0.4	positive	8
Basal-like	15986	0.1489152237772941	0.011660885813788373	0.1489152237772941	5.0	2.0	2.0	0.0	0.029783044755458822	0.029783044755458822	0.04250216770724776	1.0	ENSG00000185479.6	ENSG00000185479	KRT6B	protein_coding	2.0	0.4	positive	9
Basal-like	6027	0.1455836594104766	0.021194601887345652	0.1455836594104766	1.0	1.0	1.0	0.0	0.02911673188209532	0.02911673188209532	0.06510699177100053	1.0	ENSG00000128510.12	ENSG00000128510	CPA4	protein_coding	1.0	0.2	positive	10
Basal-like	4300	0.1348999477922915	0.008514775674000443	0.1348999477922915	4.0	3.0	3.0	0.0	0.0269799895584583	0.0269799895584583	0.03491123204331182	1.0	ENSG00000114547.10	ENSG00000114547	ROPN1B	protein_coding	1.0	0.2	positive	11
Basal-like	8399	0.12787220347672681	0.005106696287959747	0.12787220347672681	5.0	4.0	4.0	0.0	0.02557444069534536	0.02557444069534536	0.021426830164311884	1.0	ENSG00000143452.16	ENSG00000143452	HORMAD1	protein_coding	2.0	0.4	positive	12
Basal-like	11089	0.12761844880878911	0.008392114658642124	0.12761844880878911	5.0	3.0	3.0	0.0	0.025523689761757822	0.025523689761757822	0.035828832535298366	1.0	ENSG00000163661.4	ENSG00000163661	PTX3	protein_coding	1.0	0.2	positive	13
Basal-like	8865	0.12199920369312149	0.007042563142461044	0.12199920369312149	5.0	3.0	3.0	0.0	0.0243998407386243	0.0243998407386243	0.03188182084711401	1.0	ENSG00000146648.19	ENSG00000146648	EGFR	protein_coding	0.0	0.0	positive	14
Basal-like	16331	0.11845303326845161	0.005006082885872724	0.11845303326845161	5.0	3.0	3.0	0.0	0.02369060665369032	0.02369060665369032	0.023451325483719167	1.0	ENSG00000186832.9	ENSG00000186832	KRT16	protein_coding	2.0	0.4	positive	15
Basal-like	2496	0.1099812649190425	0.006144050134232809	0.1099812649190425	4.0	2.0	2.0	0.0	0.0219962529838085	0.0219962529838085	0.030515874588459228	1.0	ENSG00000101311.16	ENSG00000101311	FERMT1	protein_coding	2.0	0.4	positive	16
Basal-like	19718	0.10160878300666801	0.0057568025249420274	0.10160878300666801	5.0	2.0	2.0	0.0	0.0203217566013336	0.0203217566013336	0.030380641731712968	1.0	ENSG00000204019.5	ENSG00000204019	CT83	protein_coding	0.0	0.0	positive	17
Basal-like	1979	0.0815744996070861	0.00665439898614649	0.0815744996070861	5.0	1.0	1.0	0.0	0.01631489992141722	0.01631489992141722	0.03648122527039488	1.0	ENSG00000092621.13	ENSG00000092621	PHGDH	protein_coding	1.0	0.2	positive	18
Basal-like	49710	0.0695689804852008	0.0024205311951731117	0.0695689804852008	5.0	2.0	2.0	0.0	0.01391379609704016	0.01391379609704016	0.01905624953934445	1.0	ENSG00000268104.3	ENSG00000268104	SLC6A14	protein_coding	2.0	0.4	positive	19
Basal-like	10632	0.0688492953777313	0.004740225474010092	0.0688492953777313	5.0	1.0	1.0	0.0	0.013769859075546259	0.013769859075546259	0.03079034093351385	1.0	ENSG00000161798.7	ENSG00000161798	AQP5	protein_coding	1.0	0.2	positive	20
